predicate,occ,records,ocr004,example1,example2
"is_a",26,26,yes,"World Skills Protocol(OCR-100) -> Protocol","Professional Passport(OCR-101) -> Identity Surface"
"part_of",25,25,yes,"Professional Passport(OCR-101) -> World Skills Protocol (OCR-100)","Professional Identity(OCR-102) -> World Skills Protocol (OCR-100)"
"depends_on",4,4,yes,"World Skills Protocol(OCR-100) -> append-only fact store, Framework publication","Evidence(OCR-110) -> Framework publication of levels"
"resolved_by",4,4,no,"Framework(OCR-115) -> Framework Registry (OCR-119)","Skill(OCR-116) -> Framework Registry (OCR-119)"
"about",3,3,no,"Verification Response(OCR-109) -> Opus ID (OCR-104)","Evidence(OCR-110) -> Professional (OCR-103) via Opus ID (OCR-104)"
"defined_by",3,3,no,"Skill(OCR-116) -> Framework (OCR-115)","Competency(OCR-117) -> Framework (OCR-115)"
"governed_by",3,3,no,"World Skills Protocol(OCR-100) -> Opus X","Framework Registry(OCR-119) -> Opus X"
"produces",3,3,yes,"World Skills Protocol(OCR-100) -> verifiable professional truth","Verification(OCR-107) -> Verification Response (OCR-109)"
"references",3,3,yes,"Verification Request(OCR-108) -> Framework version (OCR-115)","Evidence(OCR-110) -> Framework (OCR-115) / Framework Reference (OCR-119)"
"superseded_by",3,3,no,"Evidence(OCR-110) -> Evidence (OCR-110, reflexive)","Immutable Fact(OCR-114) -> Immutable Fact (reflexive)"
"attested_by",2,2,no,"Skill(OCR-116) -> Evidence (OCR-110)","Competency(OCR-117) -> Evidence (OCR-110)"
"basis_for",2,2,no,"Professional Identity(OCR-102) -> Trust (OCR-105)","Opus ID(OCR-104) -> Trust (OCR-105), Trust Status (OCR-106)"
"binds",2,2,no,"Professional Identity(OCR-102) -> Immutable Fact (OCR-114)","Identity(OCR-125) -> Immutable Fact (OCR-114)"
"bound_to",2,2,no,"Evidence(OCR-110) -> Professional Passport (OCR-101) via Evidence Link","Immutable Fact(OCR-114) -> Professional Passport (OCR-101)"
"bounded_by",2,2,no,"Verification Request(OCR-108) -> consent (Passport, OCR-101)","Professional Profile(OCR-123) -> consent / disclosure"
"composes",2,2,no,"Skill(OCR-116) -> Capability (OCR-118)","Capability(OCR-118) -> Competency (OCR-117), Skill (OCR-116)"
"consumed_by",2,2,no,"Evidence(OCR-110) -> Trust (OCR-105) → Trust Status (OCR-106)","Immutable Fact(OCR-114) -> Trust (OCR-105)"
"defines",2,2,no,"Framework(OCR-115) -> Skill (OCR-116), Competency (OCR-117), Capability (OCR-118), Level","Canonical Registry(OCR-124) -> the protocol's concepts"
